Year,coal-igcc-ccs-new,coal-igcc-new,csp-new,ng-cc-ccs-new,ng-cc-new,ng-ct-new,nuc-st-new,pv-new,wind-new
1,6821579,4442000,7191000,2201100,870000,925000,7452000,1722000,1355000
2,6821579,4449263.158,7063743.169,2201100,869210.5263,924210.5263,7474315.789,1691526.316,1349578.947
3,6821579,4456526.316,6936486.338,2201100,868421.0526,923421.0526,7496631.579,1661052.632,1344157.895
4,6821579,4463789.474,6809229.507,2201100,867631.5789,922631.5789,7518947.368,1630578.947,1338736.842
5,6821579,4471052.632,6681972.676,2201100,866842.1053,921842.1053,7541263.158,1600105.263,1333315.789
6,6821579,4478315.789,6554715.844,2201100,866052.6316,921052.6316,7563578.947,1569631.579,1327894.737
7,6821579,4485578.947,6427459.013,2201100,865263.1579,920263.1579,7585894.737,1539157.895,1322473.684
8,6821579,4492842.105,6300202.182,2201100,864473.6842,919473.6842,7608210.526,1508684.211,1317052.632
9,6821579,4500105.263,6172945.351,2201100,863684.2105,918684.2105,7630526.316,1478210.526,1311631.579
10,6821579,4507368.421,6045688.52,2201100,862894.7368,917894.7368,7652842.105,1447736.842,1306210.526
11,6821579,4514631.579,5918431.689,2201100,862105.2632,917105.2632,7675157.895,1417263.158,1300789.474
12,6821579,4521894.737,5791174.858,2201100,861315.7895,916315.7895,7697473.684,1386789.474,1295368.421
13,6821579,4529157.895,5663918.027,2201100,860526.3158,915526.3158,7719789.474,1356315.789,1289947.368
14,6821579,4536421.053,5536661.196,2201100,859736.8421,914736.8421,7742105.263,1325842.105,1284526.316
15,6821579,4543684.211,5409404.365,2201100,858947.3684,913947.3684,7764421.053,1295368.421,1279105.263
16,6821579,4550947.368,5282147.533,2201100,858157.8947,913157.8947,7786736.842,1264894.737,1273684.211
17,6821579,4558210.526,5154890.702,2201100,857368.4211,912368.4211,7809052.632,1234421.053,1268263.158
18,6821579,4565473.684,5027633.871,2201100,856578.9474,911578.9474,7831368.421,1203947.368,1262842.105
19,6821579,4572736.842,4900377.04,2201100,855789.4737,910789.4737,7853684.211,1173473.684,1257421.053
20,6821579,4580000,4773120.209,2201100,855000,910000,7876000,1143000,1252000